DATE,LFWA64TTUSM647S
1977-01-01,135209488.756043
1977-02-01,135366541.420701
1977-03-01,135641937.683461
1977-04-01,135841037.252177
1977-05-01,136207757.912503
1977-06-01,136378326.143511
1977-07-01,136570224.310974
1977-08-01,136719479.86408398
1977-09-01,136957550.120327
1977-10-01,137190761.760467
1977-11-01,137366804.081852
1977-12-01,137513283.875498
1978-01-01,137686805.257533
1978-02-01,137884385.780595
1978-03-01,138039613.74334902
1978-04-01,138230388.88291702
1978-05-01,138422761.52694198
1978-06-01,138691243.329618
1978-07-01,138832606.401989
1978-08-01,138938894.18265402
1978-09-01,139181427.430915
1978-10-01,139382470.668612
1978-11-01,139626865.189489
1978-12-01,139844148.64444
1979-01-01,140065166.135932
1979-02-01,140281193.100544
1979-03-01,140503408.606317
1979-04-01,140513939.287245
1979-05-01,140742011.317883
1979-06-01,141048608.787927
1979-07-01,141149536.88690898
1979-08-01,141288454.732026
1979-09-01,141522522.79890898
1979-10-01,141770434.706102
1979-11-01,142037751.196859
1979-12-01,142250076.603044
1980-01-01,142430048.017956
1980-02-01,142634708.83668798
1980-03-01,142807347.445698
1980-04-01,142921105.38768598
1980-05-01,143207539.564593
1980-06-01,143386817.538234
1980-07-01,143535629.224984
1980-08-01,143790192.870699
1980-09-01,143940565.13011798
1980-10-01,144051913.57127398
1980-11-01,144248760.06186098
1980-12-01,144297212.366438
1981-01-01,144382192.113705
1981-02-01,144541835.56604302
1981-03-01,144713977.319928
1981-04-01,144866241.86250898
1981-05-01,145097964.680228
1981-06-01,145287968.492635
1981-07-01,145352154.679756
1981-08-01,145541872.138299
1981-09-01,145682986.549887
1981-10-01,145863502.11208102
1981-11-01,146038172.974711
1981-12-01,146096545.423328
1982-01-01,145991517.36703
1982-02-01,146092579.30003798
1982-03-01,146248396.56166798
1982-04-01,146505342.875734
1982-05-01,146774318.36610103
1982-06-01,146896925.32114998
1982-07-01,147021229.484339
1982-08-01,147261970.780632
1982-09-01,147471945.298276
1982-10-01,147634947.875907
1982-11-01,147633528.585967
1982-12-01,147629728.405706
1983-01-01,147306951.61171198
1983-02-01,147402298.197684
1983-03-01,147613409.209486
1983-04-01,147981322.250887
1983-05-01,148206972.07487902
1983-06-01,148339890.706745
1983-07-01,148494990.432937
1983-08-01,148666161.496868
1983-09-01,148813634.851207
1983-10-01,148925818.200183
1983-11-01,148942949.435736
1983-12-01,149026782.513012
1984-01-01,149162399.41453898
1984-02-01,149321084.351697
1984-03-01,149473167.86874798
1984-04-01,149621449.988725
1984-05-01,149713511.364126
1984-06-01,149956160.428876
1984-07-01,150022516.521255
1984-08-01,150128183.300497
1984-09-01,150317049.16417298
1984-10-01,150397743.22039598
1984-11-01,150525583.856153
1984-12-01,150686372.59000602
1985-01-01,150501741.323283
1985-02-01,150655034.884212
1985-03-01,150830754.120407
1985-04-01,150880169.09463102
1985-05-01,150976761.098856
1985-06-01,151252315.257794
1985-07-01,151277378.425977
1985-08-01,151395684.185397
1985-09-01,151501649.052781
1985-10-01,151649688.343788
1985-11-01,151793577.98686802
1985-12-01,151927424.46694598
1986-01-01,152366965.796172
1986-02-01,152468597.781116
1986-03-01,152631425.65161797
1986-04-01,152740958.585612
1986-05-01,152870337.80082002
1986-06-01,153074725.978631
1986-07-01,153149532.164633
1986-08-01,153319411.992892
1986-09-01,153443324.663382
1986-10-01,153599321.944937
1986-11-01,153744094.886599
1986-12-01,153834646.15325302
1987-01-01,153837023.733168
1987-02-01,154045367.81818998
1987-03-01,154201385.42754102
1987-04-01,154324852.64648
1987-05-01,154502069.81021202
1987-06-01,154635841.567492
1987-07-01,154713601.581959
1987-08-01,154819539.61036402
1987-09-01,154930175.202333
1987-10-01,155076380.70854
1987-11-01,155222864.501238
1987-12-01,155342187.892613
1988-01-01,155377838.905723
1988-02-01,155509026.590797
1988-03-01,155599023.422682
1988-04-01,155690599.49407297
1988-05-01,155811903.80683
1988-06-01,155995942.248378
1988-07-01,156124095.593
1988-08-01,156148991.473532
1988-09-01,156254945.48870802
1988-10-01,156406787.765042
1988-11-01,156482568.943077
1988-12-01,156640528.75829
1989-01-01,156731571.65226
1989-02-01,156848924.871205
1989-03-01,156920034.551523
1989-04-01,156972856.34254
1989-05-01,157008051.281291
1989-06-01,157157712.861563
1989-07-01,157252283.79052302
1989-08-01,157300980.67726701
1989-09-01,157470780.83344498
1989-10-01,157551265.755883
1989-11-01,157654611.67350498
1989-12-01,157838215.906512
1990-01-01,159323383.95717803
1990-02-01,159488266.175416
1990-03-01,159599521.6474
1990-04-01,159620601.01849502
1990-05-01,159706034.018886
1990-06-01,159810107.98438802
1990-07-01,159872964.916428
1990-08-01,159995041.52152398
1990-09-01,160210456.931279
1990-10-01,160312080.594534
1990-11-01,160508555.23485503
1990-12-01,160674058.18721098
1991-01-01,160514387.116205
1991-02-01,160597616.666868
1991-03-01,160735643.297459
1991-04-01,160919652.341768
1991-05-01,161064742.71157402
1991-06-01,161189795.93798
1991-07-01,161239139.91820002
1991-08-01,161431109.308267
1991-09-01,161591737.597318
1991-10-01,161707265.282787
1991-11-01,161861691.593789
1991-12-01,161970086.043329
1992-01-01,161726625.247027
1992-02-01,161879228.870577
1992-03-01,162066838.555922
1992-04-01,162262542.765481
1992-05-01,162465936.541819
1992-06-01,162502488.620038
1992-07-01,162641201.66068
1992-08-01,162940905.301804
1992-09-01,163082504.56313202
1992-10-01,163228049.966057
1992-11-01,163351511.210817
1992-12-01,163415284.53461897
1993-01-01,163343386.22030902
1993-02-01,163470697.450053
1993-03-01,163602965.382826
1993-04-01,163836527.868816
1993-05-01,164039834.001607
1993-06-01,164110782.740598
1993-07-01,164276298.208044
1993-08-01,164458590.02005997
1993-09-01,164590007.79258898
1993-10-01,164768562.29760098
1993-11-01,164885622.077399
1993-12-01,164998119.04073
1994-01-01,165018475.63276002
1994-02-01,165171177.22343302
1994-03-01,165289417.138803
1994-04-01,165521185.98826298
1994-05-01,165625760.893464
1994-06-01,165726198.205349
1994-07-01,165866271.60616902
1994-08-01,165952928.092206
1994-09-01,166122292.022098
1994-10-01,166274167.349653
1994-11-01,166403820.548906
1994-12-01,166565855.902297
1995-01-01,166472361.423059
1995-02-01,166620702.84984902
1995-03-01,166720989.998109
1995-04-01,166843463.460361
1995-05-01,166915979.403491
1995-06-01,167044493.33321202
1995-07-01,167201100.10891
1995-08-01,167331533.545385
1995-09-01,167480778.67773202
1995-10-01,167594267.006339
1995-11-01,167750737.15160102
1995-12-01,167912587.353791
1996-01-01,167886987.262172
1996-02-01,168054030.75606698
1996-03-01,168265581.161059
1996-04-01,168457530.47329003
1996-05-01,168605060.82147402
1996-06-01,168801835.710898
1996-07-01,168924941.003233
1996-08-01,169083840.580282
1996-09-01,169278870.340181
1996-10-01,169371244.219626
1996-11-01,169601844.72719002
1996-12-01,169764312.71933702
1997-01-01,170285503.089154
1997-02-01,170447260.11709198
1997-03-01,170617675.211529
1997-04-01,170791457.74172
1997-05-01,170909302.69829202
1997-06-01,171064617.966758
1997-07-01,171186318.356488
1997-08-01,171357325.55368498
1997-09-01,171518361.866643
1997-10-01,171624522.32886901
1997-11-01,171863520.263224
1997-12-01,172034294.52174097
1998-01-01,172107073.01375598
