,Model,Month,Month_LY,Change,YTD,YTD_LY,YTD_Change
0,Fiat 124 Spider,142,184,-22.83,"2,646","3,515",-24.72
1,BMW 2-Series,765,718,6.55,"8,015","9,208",-12.96
2,Chrysler 200,1,6,-83.33,48,"1,043",-95.40
3,Mazda 3,"3,175","5,277",-39.83,"50,741","64,638",-21.50
4,BMW 3-Series,"5,245","3,184",64.73,"47,827","44,578",7.29
5,Chrysler 300,"1,818","3,483",-47.80,"29,214","46,593",-37.30
6,Nissan 370Z,158,202,-21.78,"2,384","3,468",-31.26
7,BMW 4-Series,891,"1,916",-53.50,"18,621","31,379",-40.66
8,Alfa Romeo 4C,6,10,-40.00,145,238,-39.08
9,Toyota 4Runner,"11,529","13,309",-13.37,"131,864","139,694",-5.61
10,BMW 5-Series,"2,733","4,756",-42.54,"38,709","43,937",-11.90
11,Fiat 500,230,418,-44.98,"3,267","5,370",-39.16
12,Fiat 500L,55,39,41.03,772,"1,413",-45.36
13,Fiat 500X,146,336,-56.55,"2,519","5,223",-51.77
14,Mazda 6,"1,630","2,357",-30.84,"21,524","30,938",-30.43
15,BMW 6-Series,8,330,-97.58,"1,139","3,762",-69.72
16,Volvo 60-Series,"2,017",302,567.88,"20,190","12,176",65.82
17,BMW 7-Series,763,983,-22.38,"8,823","8,271",6.67
18,Porsche 718,191,237,-19.41,"3,880","5,276",-26.46
19,BMW 8-Series,"1,066",223,378.03,"4,410",223,"1,877.58"
20,Toyota 86 / FR-S,276,295,-6.44,"3,398","4,133",-17.78
21,Volvo 90-Series,218,664,-67.17,"4,052","9,892",-59.04
22,Porsche 911,663,789,-15.97,"9,265","9,783",-5.29
23,Mercedes-Benz A-Class,"1,166",0,0.00,"15,944",0,0.00
24,Audi A3,"1,263",792,59.47,"10,418","18,305",-43.09
25,Audi A4,"2,152","1,881",14.41,"26,435","34,311",-22.95
26,Audi A5,"2,191","1,746",25.49,"23,023","25,972",-11.35
27,Audi A6,"2,126","3,058",-30.48,"17,807","10,561",68.61
28,Audi A7,454,"1,095",-58.54,"4,955","3,852",28.63
29,Audi A8,536,380,41.05,"2,963","1,599",85.30
30,GMC Acadia,"6,411","8,485",-24.44,"99,430","88,622",12.20
31,Hyundai Accent,"2,311","3,830",-39.66,"25,628","29,090",-11.90
32,Honda Accord,"19,682","28,627",-31.25,"267,567","291,071",-8.08
33,Nissan Altima,"19,132","17,064",12.12,"209,183","209,146",0.02
34,Mercedes-Benz AMG GT,445,136,227.21,"4,048","1,525",165.44
35,Nissan Armada,"2,967","2,874",3.24,"32,044","32,650",-1.86
36,Volkswagen Arteon,283,0,0.00,"2,449",0,0.00
37,Subaru Ascent,"8,280","7,733",7.07,"81,958","36,211",126.33
38,Volkswagen Atlas,"7,400","6,717",10.17,"81,508","59,677",36.58
39,Cadillac ATS,27,281,-90.39,"1,134","10,860",-89.56
40,Toyota Avalon,"1,844","2,538",-27.34,"27,767","33,580",-17.31
41,Lincoln Aviator,"2,116",0,0.00,"8,324",0,0.00
42,Volkswagen Beetle,712,917,-22.36,"17,215","14,411",19.46
43,Chevrolet Blazer,"7,576",27,"27,959.26","58,116",27,"215,144.44"
44,Chevrolet Bolt,"1,089","2,098",-48.09,"16,419","18,020",-8.88
45,Subaru BRZ,131,349,-62.46,"2,334","3,834",-39.12
46,Mercedes-Benz C-Class,"3,412","6,799",-49.82,"48,875","54,829",-10.86
47,Toyota C-HR,"3,303","4,297",-23.13,"48,930","49,642",-1.43
48,Kia Cadenza,184,198,-7.07,"1,577","4,507",-65.01
49,Chevrolet Camaro,"3,778","3,760",0.48,"48,266","50,963",-5.29
50,Toyota Camry,"26,309","29,093",-9.57,"336,978","343,439",-1.88
51,GMC Canyon,"2,148","2,775",-22.59,"32,826","33,493",-1.99
52,Buick Cascada,25,251,-90.04,"2,535","4,628",-45.22
53,Porsche Cayenne,"1,482","1,383",7.16,"19,001","11,106",71.09
54,Volkswagen CC,2,11,-81.82,58,455,-87.25
55,Dodge Challenger,"4,708","4,156",13.28,"60,997","66,716",-8.57
56,Dodge Charger,"8,505","7,293",16.62,"96,936","80,226",20.83
57,Jeep Cherokee,"13,845","20,800",-33.44,"191,397","239,437",-20.06
58,Honda Civic,"22,913","26,384",-13.16,"325,650","325,760",-0.03
59,Mercedes-Benz CLA-Class,"1,344","1,708",-21.31,"13,212","26,269",-49.70
60,Honda Clarity FCV,805,"2,857",-71.82,"11,654","20,174",-42.23
61,Chevrolet Colorado,"8,391","10,131",-17.18,"121,703","134,842",-9.74
62,Jeep Compass,"10,952","12,745",-14.07,"143,933","171,167",-15.91
63,Lincoln Continental,607,"1,170",-48.12,"6,587","8,758",-24.79
64,Mini Cooper,"1,614","1,619",-0.31,"22,123","26,119",-15.30
65,Toyota Corolla,"23,742","25,439",-6.67,"304,850","303,732",0.37
66,Chevrolet Corvette,"1,149","1,320",-12.95,"17,988","18,789",-4.26
67,Mini Countryman,696,"1,178",-40.92,"14,042","17,565",-20.06
68,Honda CR-V,"36,098","42,079",-14.21,"384,168","379,021",1.36
69,Subaru CrossTrek,"10,140","11,295",-10.23,"131,152","144,384",-9.16
70,Chevrolet Cruze,889,"11,128",-92.01,"47,975","142,618",-66.36
71,Cadillac CT5,43,0,0.00,43,0,0.00
72,Cadillac CT6,749,810,-7.53,"7,952","9,669",-17.76
73,Cadillac CTS,318,825,-61.45,"6,966","11,220",-37.91
74,Mazda CX-3,"1,409","1,144",23.16,"16,229","16,899",-3.96
75,Mazda CX-30,868,0,0.00,899,0,0.00
76,Mazda CX-5,"15,734","13,741",14.50,"154,543","150,622",2.60
77,Mazda CX-9,"3,236","2,840",13.94,"26,861","28,257",-4.94
78,Dodge Dart,1,2,-50.00,16,389,-95.89
79,Land Rover Discovery / LR4,"1,234","1,037",19.00,"9,184","9,842",-6.69
80,Land Rover Discovery Sport,"1,503","1,512",-0.60,"12,337","12,035",2.51
81,Dodge Durango,"4,931","5,997",-17.78,"67,598","65,947",2.50
82,Mercedes-Benz E / CLS-Class,"3,343","5,042",-33.70,"39,858","46,424",-14.14
83,Jaguar E-Pace,624,727,-14.17,"4,782","5,985",-20.10
84,Ford E-Series,"4,227","3,149",34.23,"45,063","47,936",-5.99
85,Mitsubishi Eclipse Cross,"1,420","1,597",-11.08,"19,661","9,485",107.29
86,Ford EcoSport,"4,627","5,472",-15.44,"60,599","54,348",11.50
87,Ford Edge,"12,387","15,133",-18.15,"138,514","134,122",3.27
