"U.S. 2014 Calendar Year New Vehicle Sales Volume  
All Vehicles & All Automakers – Two Sheets 
© GoodCarBadCar.net",,,
,,,
,,,
Vehicle/Brand/Manufacturer,2014,2013,% Change
Total New Vehicle Sales ¥,"16,516,116","15,595,820",5.9%
Passenger Cars Ø,"7,935,161","7,801,870",1.7%
SUVs & Crossovers Ø,"5,314,878","4,747,988",11.9%
Pickup Trucks,"2,320,219","2,175,633",6.6%
Minivans,"556,548","532,357",4.5%
Commercial Vans,"356,814","312,045",14.3%
,,,
BMW Group °,"395,850","375,782",5.3%
BMW Brand Total,"339,738","309,280",9.8%
BMW Car,"229,470","206,778",11.0%
BMW 2-Series (& 1-Series),"7,345","7,220",1.7%
BMW 3-Series & 4-Series,"142,232","119,521",19.0%
BMW 5-Series,"52,704","56,863",-7.3%
BMW 6-Series,"8,647","9,762",-11.4%
BMW 7-Series,"9,744","10,932",-10.9%
BMW i3,"6,092",0,0.0%
BMW i8,555,0,0.0%
BMW Z4,"2,151","2,480",-13.3%
BMW Light Truck,"110,268","102,502",7.6%
BMW X1,"22,808","26,512",-14.0%
BMW X3,"33,824","30,623",10.5%
BMW X4,"2,709",0,0.0%
BMW X5,"47,031","39,818",18.1%
BMW X6,"3,896","5,549",-29.8%
Mini Brand Total,"56,112","66,502",-15.6%
Mini Car,"31,385","41,915",-25.2%
Mini Cooper,"31,385","41,915",-25.2%
Mini Cooper Hardtop *,"22,843","26,954",-15.3%
Mini Cooper Convertible,"3,536","4,460",-20.7%
Mini Cooper Clubman *,"2,613","5,155",-49.3%
Mini Cooper Roadster *,"1,437","2,806",-48.8%
Mini Cooper Coupe *,956,"2,540",-62.4%
Mini Light Truck,"24,727","24,587",0.6%
Mini Countryman,"22,645","21,325",6.2%
Mini Paceman,"2,082","3,262",-36.2%
,,,
Fiat Chrysler Automobiles ° ,"2,103,582","1,805,136",16.5%
Chrysler Brand Total,"308,785","302,492",2.1%
Chrysler Car,"170,745","180,204",-5.2%
Chrysler 200,"117,363","122,480",-4.2%
Chrysler 300,"53,382","57,724",-7.5%
Chrysler Light Truck,"138,040","122,288",12.9%
Chrysler Town & Country,"138,040","122,288",12.9%
Dodge Brand Total,"574,155","596,343",-3.7%
Total Dodge car,"282,033","327,664",-13.9%
Dodge Avenger,"51,705","93,842",-44.9%
Dodge Caliber,0,45,-100%
Dodge Challenger,"51,611","51,462",0.3%
Dodge Charger,"94,099","98,336",-4.3%
Dodge Dart,"83,858","83,388",0.6%
Dodge Viper,760,591,28.6%
Dodge Light Truck,"292,122","268,679",8.7%
Dodge Grand Caravan,"134,152","124,019",8.2%
Dodge Durango,"64,398","60,727",6.0%
Dodge Journey,"93,572","83,933",11.5%
Jeep Brand Total,"692,348","490,454",41.2%
Jeep Cherokee,"178,508","25,786",592%
Jeep Compass,"61,264","52,993",15.6%
Jeep Grand Cherokee,"183,786","174,275",5.5%
Jeep Liberty,0,"6,101",-100%
Jeep Patriot,"93,462","75,797",23.3%
Jeep Wrangler,"175,328","155,502",12.8%
Ram Brand Total,"469,139","367,843",27.5%
Ram Cargo Van,"11,311","8,900",27.1%
Ram ProMaster,"18,039","3,270",452%
