Year,Make,Model,Platform code / generation number,Class,Notes
YEAR-MAKE-MODEL for AMERICAN MARKET,,,,,
Copyright 2013-2018 by Teoalida - cardatabase.teoalida.com,,,,,
"You are allowed to use this file in your business or company, or convert in SQL database for your website or software development.",,,,,
"You are not allowed to distribute, resell or post the Excel file or converted files on other websites.",,,,,
"SAMPLE file including 2 makes, one domestic (Ford) and one imported (BMW)",,,,,
"FULL file contains 90 makes and 15000+ models, each year adding 300+ models!",,,,,
"See ""Statistics makes"" sheet for the list of makes and number of models included for each make",,,,,
"Visit cardatabase.teoalida.com and purchase the FULL version, as well as other car databases!",,,,,
1978,Ford,Fiesta,-,Subcompact car,
1979,Ford,Fiesta,-,Subcompact car,
1980,Ford,Fiesta,-,Subcompact car,
1988,Ford,Festiva,-,Subcompact car,
1989,Ford,Festiva,-,Subcompact car,
1990,Ford,Festiva,-,Subcompact car,
1991,Ford,Festiva,-,Subcompact car,
1992,Ford,Festiva,-,Subcompact car,
1993,Ford,Festiva,-,Subcompact car,
1994,Ford,Aspire,-,Subcompact car,
1995,Ford,Aspire,-,Subcompact car,
1996,Ford,Aspire,-,Subcompact car,
1996,Ford,Aspire,-,Subcompact car,
2011,Ford,Fiesta,-,Subcompact car,
2012,Ford,Fiesta,-,Subcompact car,
2013,Ford,Fiesta,-,Subcompact car,
2014,Ford,Fiesta,-,Subcompact car,
2015,Ford,Fiesta,-,Subcompact car,
2016,Ford,Fiesta,-,Subcompact car,
2017,Ford,Fiesta,-,Subcompact car,
2018,Ford,Fiesta,-,Subcompact car,
2019,Ford,Fiesta,-,Subcompact car,
1960,Ford,Falcon,(1st gen),Compact car,
1961,Ford,Falcon,(1st gen),Compact car,
1962,Ford,Falcon,(1st gen),Compact car,
1963,Ford,Falcon,(1st gen),Compact car,
1964,Ford,Falcon,(2nd gen),Compact car,
1965,Ford,Falcon,(2nd gen),Compact car,
1966,Ford,Falcon,(3rd gen),Compact car,
1967,Ford,Falcon,(3rd gen),Compact car,
1968,Ford,Falcon,(3rd gen),Compact car,
1969,Ford,Falcon,(3rd gen),Compact car,
1970,Ford,Falcon,(3rd gen),Compact car,
1969,Ford,Maverick,-,Compact car,
1970,Ford,Maverick,-,Compact car,
1971,Ford,Maverick,-,Compact car,
1972,Ford,Maverick,-,Compact car,
1973,Ford,Maverick,-,Compact car,
1974,Ford,Maverick,-,Compact car,
1975,Ford,Maverick,-,Compact car,
1976,Ford,Maverick,-,Compact car,
1977,Ford,Maverick,-,Compact car,
1978,Ford,Fairmont,-,Compact car,
1979,Ford,Fairmont,-,Compact car,
1980,Ford,Fairmont,-,Compact car,
1981,Ford,Fairmont,-,Compact car,
1982,Ford,Fairmont,-,Compact car,
1983,Ford,Fairmont,-,Compact car,
1984,Ford,Tempo,(1st gen),Compact car,
1985,Ford,Tempo,(1st gen),Compact car,
1986,Ford,Tempo,(1st gen),Compact car,
1987,Ford,Tempo,(1st gen),Compact car,
1988,Ford,Tempo,(2nd gen),Compact car,
1989,Ford,Tempo,(2nd gen),Compact car,
1990,Ford,Tempo,(2nd gen),Compact car,
1991,Ford,Tempo,(2nd gen),Compact car,
1992,Ford,Tempo,(2nd gen),Compact car,
1993,Ford,Tempo,(2nd gen),Compact car,
1994,Ford,Tempo,(2nd gen),Compact car,
1995,Ford,Contour,-,Compact car,
1996,Ford,Contour,-,Compact car,
1997,Ford,Contour,-,Compact car,
1998,Ford,Contour,-,Compact car,
1999,Ford,Contour,-,Compact car,
2000,Ford,Contour,-,Compact car,"MY 2000 sold only in United States, no Canada"
1971,Ford,Pinto,-,Compact car,
1972,Ford,Pinto,-,Compact car,
1973,Ford,Pinto,-,Compact car,
1974,Ford,Pinto,-,Compact car,
1975,Ford,Pinto,-,Compact car,
1976,Ford,Pinto,-,Compact car,
1977,Ford,Pinto,-,Compact car,
1978,Ford,Pinto,-,Compact car,
1979,Ford,Pinto,-,Compact car,
1980,Ford,Pinto,-,Compact car,
1981,Ford,Escort,(1st gen),Compact car,
1982,Ford,Escort,(1st gen),Compact car,
1983,Ford,Escort,(1st gen),Compact car,
1984,Ford,Escort,(1st gen),Compact car,
1985,Ford,Escort,(1st gen),Compact car,
1986,Ford,Escort,(1st gen),Compact car,
1987,Ford,Escort,(1st gen),Compact car,
1988,Ford,Escort,(1st gen),Compact car,
1989,Ford,Escort,(1st gen),Compact car,
1990,Ford,Escort,(1st gen),Compact car,
1991,Ford,Escort,(2nd gen),Compact car,
1992,Ford,Escort,(2nd gen),Compact car,
1993,Ford,Escort,(2nd gen),Compact car,
1994,Ford,Escort,(2nd gen),Compact car,
1995,Ford,Escort,(2nd gen),Compact car,
1996,Ford,Escort,(2nd gen),Compact car,
1997,Ford,Escort,(3rd gen),Compact car,
1998,Ford,Escort,(3rd gen),Compact car,
1999,Ford,Escort,(3rd gen),Compact car,
2000,Ford,Escort,(3rd gen),Compact car,
2001,Ford,Escort,(3rd gen),Compact car,
2002,Ford,Escort,(3rd gen),Compact car,
2000,Ford,Focus,(1st gen),Compact car,
2001,Ford,Focus,(1st gen),Compact car,
2002,Ford,Focus,(1st gen),Compact car,
2003,Ford,Focus,(1st gen),Compact car,
2004,Ford,Focus,(1st gen),Compact car,
2005,Ford,Focus,(1st gen),Compact car,
2006,Ford,Focus,(1st gen),Compact car,
2007,Ford,Focus,(1st gen),Compact car,
2008,Ford,Focus,(2nd gen),Compact car,
2009,Ford,Focus,(2nd gen),Compact car,
2010,Ford,Focus,(2nd gen),Compact car,
2011,Ford,Focus,(2nd gen),Compact car,
2012,Ford,Focus,(3rd gen),Compact car,
2013,Ford,Focus,(3rd gen),Compact car,
2014,Ford,Focus,(3rd gen),Compact car,
2015,Ford,Focus,(3rd gen),Compact car,
2016,Ford,Focus,(3rd gen),Compact car,
2017,Ford,Focus,(3rd gen),Compact car,
2018,Ford,Focus,(3rd gen),Compact car,
2019,Ford,Focus,(3rd gen),Compact car,
1962,Ford,Fairlane,(4th gen),Mid-size car,
1963,Ford,Fairlane,(4th gen),Mid-size car,
1964,Ford,Fairlane,(4th gen),Mid-size car,
1965,Ford,Fairlane,(4th gen),Mid-size car,
1966,Ford,Fairlane,(5th gen),Mid-size car,
1967,Ford,Fairlane,(5th gen),Mid-size car,
1968,Ford,Fairlane,(6th gen),Mid-size car,
1969,Ford,Fairlane,(6th gen),Mid-size car,
1970,Ford,Fairlane,(7th gen),Mid-size car,
1971,Ford,Fairlane,(7th gen),Mid-size car,
1968,Ford,Torino,(1st gen),Mid-size car,"upscale Fairlane, not a separate model"
1969,Ford,Torino,(1st gen),Mid-size car,"upscale Fairlane, not a separate model"
1970,Ford,Torino,(1st gen),Mid-size car,"upscale Fairlane, not a separate model"
1971,Ford,Torino,(2nd gen),Mid-size car,
1972,Ford,Torino,(2nd gen),Mid-size car,
1972,Ford,Gran Torino,-,Mid-size car,
1973,Ford,Gran Torino,-,Mid-size car,
1974,Ford,Gran Torino,-,Mid-size car,
1975,Ford,Gran Torino,-,Mid-size car,
1976,Ford,Gran Torino,-,Mid-size car,
1977,Ford,LTD II,-,Mid-size car,
1978,Ford,LTD II,-,Mid-size car,
1979,Ford,LTD II,-,Mid-size car,
1975,Ford,Granada,-,Mid-size car,
1976,Ford,Granada,-,Mid-size car,
1977,Ford,Granada,-,Mid-size car,
1978,Ford,Granada,-,Mid-size car,
1979,Ford,Granada,-,Mid-size car,
1980,Ford,Granada,-,Mid-size car,
1981,Ford,Granada,-,Mid-size car,
1982,Ford,Granada,-,Mid-size car,
1983,Ford,LTD Fox,-,Mid-size car,
1984,Ford,LTD Fox,-,Mid-size car,
1985,Ford,LTD Fox,-,Mid-size car,
1986,Ford,LTD Fox,-,Mid-size car,
1986,Ford,Taurus,(1st gen),Mid-size car,
1987,Ford,Taurus,(1st gen),Mid-size car,
1988,Ford,Taurus,(1st gen),Mid-size car,
1989,Ford,Taurus,(1st gen),Mid-size car,
1990,Ford,Taurus,(1st gen),Mid-size car,
1991,Ford,Taurus,(1st gen),Mid-size car,
1992,Ford,Taurus,(2nd gen),Mid-size car,
1993,Ford,Taurus,(2nd gen),Mid-size car,
1994,Ford,Taurus,(2nd gen),Mid-size car,
1995,Ford,Taurus,(3rd gen),Mid-size car,
1996,Ford,Taurus,(3rd gen),Mid-size car,
1997,Ford,Taurus,(3rd gen),Mid-size car,
1998,Ford,Taurus,(3rd gen),Mid-size car,
1999,Ford,Taurus,(3rd gen),Mid-size car,
2000,Ford,Taurus,(4th gen),Mid-size car,
2001,Ford,Taurus,(4th gen),Mid-size car,
2002,Ford,Taurus,(4th gen),Mid-size car,
2003,Ford,Taurus,(4th gen),Mid-size car,
2004,Ford,Taurus,(4th gen),Mid-size car,
2005,Ford,Taurus,(4th gen),Mid-size car,
2006,Ford,Taurus,(4th gen),Mid-size car,
2007,Ford,Taurus,(4th gen),Mid-size car,
2006,Ford,Fusion,(1st gen),Mid-size car,
2007,Ford,Fusion,(1st gen),Mid-size car,
2008,Ford,Fusion,(1st gen),Mid-size car,
2009,Ford,Fusion,(1st gen),Mid-size car,
2010,Ford,Fusion,(1st gen),Mid-size car,
2011,Ford,Fusion,(1st gen),Mid-size car,
2012,Ford,Fusion,(1st gen),Mid-size car,
2013,Ford,Fusion,(2nd gen),Mid-size car,
2014,Ford,Fusion,(2nd gen),Mid-size car,
2015,Ford,Fusion,(2nd gen),Mid-size car,
